"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"375","Beberapa kesalahan diperbaiki dari Gundala ke Sri Asih. Patut disejajarkan bahkan melebihi di beberapa sisi dengan… https://t.co/eSPOenHQ8G",FALSE,1,NA,2022-11-22 12:36:41,TRUE,NA,"1595033527288205313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Om_Thanoos",0,FALSE,FALSE,NA,NA
"376","Teman-teman yuk ngobrol soal Sri Asih dan Bumilangit Cinematic Universe bareng @upirocks dan @jokoanwar 

Besok, ja… https://t.co/HBg8LENZKm",FALSE,188,NA,2022-11-22 12:36:21,TRUE,NA,"1595033441015599105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sriasihofficial",70,FALSE,FALSE,NA,NA
"377","@Livinhumanss @moviemenfes Beda,Sri Asih satu universe sama Gundala di Bumi Langit.Kalo Gatot Kaca di Satria Dewa,n… https://t.co/JfERmqQhga",FALSE,15,"Livinhumanss",2022-11-22 12:36:17,TRUE,"1594982636166213637","1595033426976919552","1515872400780390400","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","selaichocoberry",0,FALSE,FALSE,NA,NA
"378","@tweetaje_aje Ohh ini yg kemarin muncul di sri asih ya si virgo",FALSE,0,"tweetaje_aje",2022-11-22 12:36:10,FALSE,"1594979317955846145","1595033396199460864","875735524308172800","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patethic_poetic",0,FALSE,FALSE,NA,NA
"379","Ih lucu banget NANI WIJAYA SENDIRI BELOM NONTON SRI ASIH SHSHSVSH",FALSE,0,NA,2022-11-22 12:36:10,FALSE,NA,"1595033394760802304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","summerneideu",0,FALSE,FALSE,NA,NA
"380","Dalam mendukung Perfilman Indonesia, Erick Thohir menonton film Sri Asih.

@Erick Thohir  di serbu masyarakat untuk… https://t.co/yK6bgA1dDN",FALSE,7,NA,2022-11-22 12:36:08,TRUE,NA,"1595033386355392512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jopang_",5,FALSE,FALSE,NA,NA
"381","Buat yang nggak setuju kalau CGI Sri Asih keren, coba sini sebut satu aja film Indonesia dengan CGI segila ini.

CG… https://t.co/b55TfhUQon",FALSE,157,NA,2022-11-22 12:35:51,TRUE,NA,"1595033318164135937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jagoan_Kancil",40,FALSE,FALSE,NA,NA
"382","ngapunten blm sempet nonton Sri Asih🙏🏼 https://t.co/e9eRcOWRVT",FALSE,0,NA,2022-11-22 12:34:30,FALSE,NA,"1595032976592891905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soraksunyi",0,FALSE,FALSE,NA,NA
"383","jujur kepikiran gini juga. waktu Gundala, kesannya kayak belum siap masuk ke bigger things spt berbagai macam hero… https://t.co/9tOcZDh7hm",FALSE,0,NA,2022-11-22 12:33:51,TRUE,NA,"1595032813765824513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rifqaiza",0,FALSE,FALSE,NA,NA
"384","@moviemenfes Sri Asih
Mencuri Raden Saleh
Perfect Strangers
Qodrat
Noktah Merah Perkawinan",FALSE,0,"moviemenfes",2022-11-22 12:33:36,FALSE,"1594981520808169472","1595032750167162880","1565895180","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","selatuta",0,FALSE,FALSE,NA,NA
