"","text"
"104","  salaaaaaaah banget ga ngikutin film    namanya sinema vibe andai duitku   mun "
"105","abis kuliah     nobar sri asih ganih gaytembalang gaysemarang"
"106"," tan  sadari  sri asih "
"107"," sri asih aneh"
"108","yuk simak tret    pevita pearce cs "
"109"," jkt cus sri asih  keramat  deh "
"110","khusus bp  sri asih   bareng orang  ta   sibuk  huhu"
"111","semalem  sri asih  loh lohlohdibikin mikir   deket dijauhin   deket"
"112","   film sri asih  ghazul runya mengabdi da dewi a     misi membangkit "
"113","sri asih  tayang desember  ga ya pengen bet   "
"114"," togun maverick black panther wakanda forever sri asih black adam pengabdi setan  communion"
"115","   rambut  semt dibahas sm mbk u    ngebedain sur hero am "
"116","sri asih keren banget woy"
"117","gi  ngobrol  ayah  suruh   sri asih ta  ceritain   sam "
"118","belom  wakanda forever sri asih  the menu udh tayang  maahhh   semuaaaaa"
"119"," ntar    sri asih  bosenin fix  ketiduran sih pevita semoga u buktiin film u bagus ye"
"120","besok   sri asih  hehehe"
"121","  please please  guyss   buzzer   sesayang   bcu habis  sri as "
"122"," seng  villain e sri asih  lemah kebanyakan manusia  kecuali roh jahat ndek last "
"123"," sri asih"
"124"," plotmya   background story alana  berantakan konflik  dee dialog kaku ad "
"125"," ganggu  w  sri asih tuh efek fightingnya  aan banget deh cgi w ga eskktasi a ya cukulah "
"126","kumlan atasan cewek croedbcdsebuah utas miracleincellno miracle indo csemua sudirman umkm lockey astro lele "
"127","pengen noton sri asih cuman ga  temen  ngga   ngajakin hadeh  ngga   "
"128","  mas  cgi  bagus  film indonesia  wiro sableng foxtrot six ratu ilmu hitam dre "
"129"," an      film sri asih  bioskoitu  baik    g m "
"130","  setuju mas cgi sri asih  ningkatan  film gundala  gatot kaca"
"131","maw  sri asih s"
"132"," sll wallr mbak vita s jd sri asih  gila  emang  keren  sih"
"133"," sri asih"
"134","sejujurnya   film sri asih   jalan cerita  boring ya    sarnya  ed "
"135"," tau temennya naruto  suka makan  kn  jd gede sri asih jg "
"136"," ing sri asih ngadi idlix"
"137"," waah terima kasih  njelasannya ya kak  dewi a   tau  kah   alana "
"138"," sri asih "
"139"," sri asih"
"140","btw movie comnion sri asih nggak  logo koloninya yak "
"141","sri asih "
"142","now im waiting for cergam klasik sri asih versi remaster"
"143","    ngebahas roh setan kemunculan karakter  cukura antingnya   versi film  "
"144"," kunci  jd wadah dr dewi a   kemarahan  sri asih  kesabaran  maksud de "
"145"," kelar baca movie comnion sri asih  baca ulang  gundala so far menarik   flashback   "
"146"," gua rnah bilang cgi sri asih  keren    gua dibayar  ga  uang  masuk ya "
"147"," hilangnya jagau   misteri banget akah   hiduatau  mati sti taulah  komik "
"148"," coba cocokkan      jatmiko lang  rumahnyadan  rnyataan joko "
"149"," character develoent sri asih      gaada satun   korbanin  menc "
"150","  si nenek   salah  panjaga buana    cergam sri asih the official movie comnion p "
"151","maaf banget ta sri asih  bagus darida gundala  alur cerita  cinematic "
"152","    titisan  sri asih dewi a mencoba nyaliduluan ta  bayi alana diselam "
"153","sri asih was okay better than gundala"
"154","uya kelomk  digagalkan  sri asih nani wijaya karakter  dirankan  najwa shihab sri asih "
"155","sri asih oke sih tkok gundalanya ganti ciko"
"156","dewi a sertinya  dendam     dewi asih   dikalahkan  dikurung   "
"157"," wkwk  skrg  balikin   jg ndat lu  cgi sri asih g "
"158","dewi a   nglimanya  sertinya   lawan utama  film patriot  pasukan kegelan "
"159","   scene roh setan aka jatmiko vs alana aka sri asih  fight scene bener  bikin  menghela nafa "
"160","sri asih a keramat ya"
"161","sri asih bagus ta ngambil gambarnya   kurengg gmn gt"
"162"," sri asih bareng yuk"
"163"," imbang ya sre timenya  dike  scene scene   ngejawab bebera ot hole  udh   "
"164","sri asih bagus sih tkarena eksktasiku   kek cuman  "
"165","kirakira godam  tayang  ya  gundala  sri asih   nunggu   huhu "
"166","   ga nanya   bagus ta  segila sri asih   artian beda emang mrs "
"167","adek w senjang  sri asihanjir    cewe secakeinicakebanget anjirrrastagfirullah cake "
"168","seriously ya jujur kayaknya mah film    ngasih njelasan  detail     term "
"169","please minggu libur blum kesaman  wakandahh   sri asih  "
"170","sri asih komedinya lebi dikit  gundala feels like  serius  jrg ketawa"
"171","ide jeje   sri asih best "
"172","imo anger issuenya  tuh   took a big rt  sih  nghalangnya   nerusin garis  "
"173"," penilaian  sifatnya subjektif tergantung sia  nilai  ya sah     bilan "
"174","bener sih ta  the way si eyang didnt even bother to told her about how she have to control his emotion "
"175","reza rahadian emo banget  sri asih"
"176"," eyang blg alana  garis keturunanny sri asih titisanny sri asih but she also seems like she has t "
"177","sri asih    pevita was able to fulfill her role as sri asih throughout the film terrific the scenario "
"178","    sabar  sri asih  gundala bertemu    cerita godam  sabar  "
"179","abis  sriasih so sorry konten   mengandung siler     sri asih  urutan  "
"180","ajrrr sri asih keren  hellooo wajib  pls  mohon "
"181","   sri asih  ngasih liat  ndasi  rfect  universe saga sur hero lokal stlh kmr "
"182","mundur   jaman gundala joko anwar  rnah ngetwit     ki wilawuk  rta "
"183","ceritanya     film sri asih    jalan ceritanya miridan cukudekat  r "
"184"," sri asih silerfilmnya overall not bad cgi si   bnyk  bahas ya tg msi enjoy wat d tnton  "
"185","  ngira sri asih hantuan "
"186","  sri asih ta nasaran the menu "
"187","tolong  gatenang  mikirin plot hole  sri asih  kek kelanjutannya apaaaa"
"188"," sri asih movie comnion isinya kurleb latar     mufi    usu "
"189","gundala gt sri asih"
"190","review sri asih vita manteudah gitu  "
"191"," kecewa  sri asih"
"192","jujur gua   sri asih tbanyak  bilang   dikit   gitu   salah milihan tang "
"193","  sri asih  gundala  gaes"
"194","sri asihfilmnya  suka bangeeett ngeeet banggeeetttlebih bagus  banding gundala  teknisanimasicgief "
"195"," sri asih  wakanda bentar lg   disney"
"196","sri asih  ec dibanding gundala karna  si gundala  masuk agent kek avengersnya  cek marvelna mah"
"197","tbh sri asih kureng"
"198"," sri asih wakanda   disney wkwkwk"
"199","silerseru banget  sri asih  jurus kage bunshin"
"200","aktris  berdedi kasih  peran sebagi surhero cewek indonesia  surhero bumilangit berran sebag "
"201","oh iya sri asih   rnah difilmkan da   pemeran nani wijaya  aktris bernama mimi m "
"202"," sri asih"
"203","sri asih actionnya banyakkk nggak lit  gundala wkwkwk"
"204","  ak nntn sri asih"
"205"," bentuk aesiasi  dukungan  kemajuan rfilman nasional menteri bumn   kesibukannya menyem "
"206","konseya sri asih kh "
"207","duhhh   siler ta fighting scene  hamr  fight scene bagus cgv   ukuran indo "
"208"," kemirin alana versi cergam  film    nama  desain kostum sri asih  mirika "
"209"," sri asih"
"210","  a bersedih hati  baik  sri asih"
"211","marathon movie  kyknya bgus haha  blm nnton blacknther sri asih trus tambahin deh the menu am keramat "
"212","mnding  wakanda  sri asih  duany t wktuny g tau   ga wakanda  kali y"
"213","   habis  sri asih "
"214","  gaikut ngomongin sri asih dikul jg "
"215","ta  dikir ya gundala  segi cerita   baik  sri asih ya emang fokusnya beda si ta tem "
"216"," keknya abis  sri asih kebayangnya  ring kali"
"217","nasaran   sri asih  yu"
"218"," cergam sri asih the movie comnion kisah   alana  diceritakan kecintaan alana da ilmu b "
